地名,資源物１,資源物２,容器包装プラスチック類,容器包装以外のプラスチック類,もえないごみ・有害ごみ・粗大ごみ,もえるごみ
緑ケ丘二丁目,Ａ地域,20150115 20150129 20150212 20150226 20150312 20150326 20150409 20150423 20150507 20150521 20150604 20150618 20150702 20150716 20150730 20150813 20150827 20150910 20150924 20151008 20151022 20151105 20151119 20151203 20151217 20151231,20150108 20150122 20150205 20150219 20150305 20150319 20150402 20150416 20150430 20150514 20150528 20150611 20150625 20150709 20150723 20150806 20150820 20150903 20150917 20151001 20151015 20151029 20151112 20151126 20151210 20151224,水,20150112 20150126 20150209 20150223 20150309 20150323 20150406 20150420 20150504 20150518 20150601 20150615 20150629 20150713 20150727 20150810 20150824 20150907 20150921 20151005 20151019 20151102 20151116 20151130 20151214 20151228,20150105 20150119 20150202 20150216 20150302 20150316 20150330 20150413 20150427 20150511 20150525 20150608 20150622 20150706 20150720 20150803 20150817 20150831 20150914 20150928 20151012 20151026 20151109 20151123 20151207 20151221,火 金
南台一丁目,Ｃ地域,20150112 20150126 20150209 20150223 20150309 20150323 20150406 20150420 20150504 20150518 20150601 20150615 20150629 20150713 20150727 20150810 20150824 20150907 20150921 20151005 20151019 20151102 20151116 20151130 20151214 20151228,20150105 20150119 20150202 20150216 20150302 20150316 20150330 20150413 20150427 20150511 20150525 20150608 20150622 20150706 20150720 20150803 20150817 20150831 20150914 20150928 20151012 20151026 20151109 20151123 20151207 20151221,水,20150115 20150129 20150212 20150226 20150312 20150326 20150409 20150423 20150507 20150521 20150604 20150618 20150702 20150716 20150730 20150813 20150827 20150910 20150924 20151008 20151022 20151105 20151119 20151203 20151217 20151231,20150108 20150122 20150205 20150219 20150305 20150319 20150402 20150416 20150430 20150514 20150528 20150611 20150625 20150709 20150723 20150806 20150820 20150903 20150917 20151001 20151015 20151029 20151112 20151126 20151210 20151224,火 金
南台二丁目,Ｄ地域,20150113 20150127 20150210 20150224 20150310 20150324 20150407 20150421 20150505 20150519 20150602 20150616 20150630 20150714 20150728 20150811 20150825 20150908 20150922 20151006 20151020 20151103 20151117 20151201 20151215 20151229,20150106 20150120 20150203 20150217 20150303 20150317 20150331 20150414 20150428 20150512 20150526 20150609 20150623 20150707 20150721 20150804 20150818 20150901 20150915 20150929 20151013 20151027 20151110 20151124 20151208 20151222,水,20150116 20150130 20150213 20150227 20150313 20150327 20150410 20150424 20150508 20150522 20150605 20150619 20150703 20150717 20150731 20150814 20150828 20150911 20150925 20151009 20151023 20151106 20151120 20151204 20151218 20160101,20150109 20150123 20150206 20150220 20150306 20150320 20150403 20150417 20150501 20150515 20150529 20150612 20150626 20150710 20150724 20150807 20150821 20150904 20150918 20151002 20151016 20151030 20151113 20151127 20151211 20151225,月 木
本新田,Ａ地域,20150115 20150129 20150212 20150226 20150312 20150326 20150409 20150423 20150507 20150521 20150604 20150618 20150702 20150716 20150730 20150813 20150827 20150910 20150924 20151008 20151022 20151105 20151119 20151203 20151217 20151231,20150108 20150122 20150205 20150219 20150305 20150319 20150402 20150416 20150430 20150514 20150528 20150611 20150625 20150709 20150723 20150806 20150820 20150903 20150917 20151001 20151015 20151029 20151112 20151126 20151210 20151224,水,20150112 20150126 20150209 20150223 20150309 20150323 20150406 20150420 20150504 20150518 20150601 20150615 20150629 20150713 20150727 20150810 20150824 20150907 20150921 20151005 20151019 20151102 20151116 20151130 20151214 20151228,20150105 20150119 20150202 20150216 20150302 20150316 20150330 20150413 20150427 20150511 20150525 20150608 20150622 20150706 20150720 20150803 20150817 20150831 20150914 20150928 20151012 20151026 20151109 20151123 20151207 20151221,火 金
元福岡一丁目,Ｂ地域,20150116 20150130 20150213 20150227 20150313 20150327 20150410 20150424 20150508 20150522 20150605 20150619 20150703 20150717 20150731 20150814 20150828 20150911 20150925 20151009 20151023 20151106 20151120 20151204 20151218,20150109 20150123 20150206 20150220 20150306 20150320 20150403 20150417 20150501 20150515 20150529 20150612 20150626 20150710 20150724 20150807 20150821 20150904 20150918 20151002 20151016 20151030 20151113 20151127 20151211 20151225,水,20150113 20150127 20150210 20150224 20150310 20150324 20150407 20150421 20150505 20150519 20150602 20150616 20150630 20150714 20150728 20150811 20150825 20150908 20150922 20151006 20151020 20151103 20151117 20151201 20151215 20151229,20150106 20150120 20150203 20150217 20150303 20150317 20150331 20150414 20150428 20150512 20150526 20150609 20150623 20150707 20150721 20150804 20150818 20150901 20150915 20150929 20151013 20151027 20151110 20151124 20151208 20151222,月 木
元福岡二丁目,Ｂ地域,20150116 20150130 20150213 20150227 20150313 20150327 20150410 20150424 20150508 20150522 20150605 20150619 20150703 20150717 20150731 20150814 20150828 20150911 20150925 20151009 20151023 20151106 20151120 20151204 20151218,20150109 20150123 20150206 20150220 20150306 20150320 20150403 20150417 20150501 20150515 20150529 20150612 20150626 20150710 20150724 20150807 20150821 20150904 20150918 20151002 20151016 20151030 20151113 20151127 20151211 20151225,水,20150113 20150127 20150210 20150224 20150310 20150324 20150407 20150421 20150505 20150519 20150602 20150616 20150630 20150714 20150728 20150811 20150825 20150908 20150922 20151006 20151020 20151103 20151117 20151201 20151215 20151229,20150106 20150120 20150203 20150217 20150303 20150317 20150331 20150414 20150428 20150512 20150526 20150609 20150623 20150707 20150721 20150804 20150818 20150901 20150915 20150929 20151013 20151027 20151110 20151124 20151208 20151222,月 木
元福岡三丁目,Ｂ地域,20150116 20150130 20150213 20150227 20150313 20150327 20150410 20150424 20150508 20150522 20150605 20150619 20150703 20150717 20150731 20150814 20150828 20150911 20150925 20151009 20151023 20151106 20151120 20151204 20151218,20150109 20150123 20150206 20150220 20150306 20150320 20150403 20150417 20150501 20150515 20150529 20150612 20150626 20150710 20150724 20150807 20150821 20150904 20150918 20151002 20151016 20151030 20151113 20151127 20151211 20151225,水,20150113 20150127 20150210 20150224 20150310 20150324 20150407 20150421 20150505 20150519 20150602 20150616 20150630 20150714 20150728 20150811 20150825 20150908 20150922 20151006 20151020 20151103 20151117 20151201 20151215 20151229,20150106 20150120 20150203 20150217 20150303 20150317 20150331 20150414 20150428 20150512 20150526 20150609 20150623 20150707 20150721 20150804 20150818 20150901 20150915 20150929 20151013 20151027 20151110 20151124 20151208 20151222,月 木
谷田一丁目,Ａ地域,20150115 20150129 20150212 20150226 20150312 20150326 20150409 20150423 20150507 20150521 20150604 20150618 20150702 20150716 20150730 20150813 20150827 20150910 20150924 20151008 20151022 20151105 20151119 20151203 20151217 20151231,20150108 20150122 20150205 20150219 20150305 20150319 20150402 20150416 20150430 20150514 20150528 20150611 20150625 20150709 20150723 20150806 20150820 20150903 20150917 20151001 20151015 20151029 20151112 20151126 20151210 20151224,水,20150112 20150126 20150209 20150223 20150309 20150323 20150406 20150420 20150504 20150518 20150601 20150615 20150629 20150713 20150727 20150810 20150824 20150907 20150921 20151005 20151019 20151102 20151116 20151130 20151214 20151228,20150105 20150119 20150202 20150216 20150302 20150316 20150330 20150413 20150427 20150511 20150525 20150608 20150622 20150706 20150720 20150803 20150817 20150831 20150914 20150928 20151012 20151026 20151109 20151123 20151207 20151221,火 金
谷田二丁目,Ａ地域,20150115 20150129 20150212 20150226 20150312 20150326 20150409 20150423 20150507 20150521 20150604 20150618 20150702 20150716 20150730 20150813 20150827 20150910 20150924 20151008 20151022 20151105 20151119 20151203 20151217 20151231,20150108 20150122 20150205 20150219 20150305 20150319 20150402 20150416 20150430 20150514 20150528 20150611 20150625 20150709 20150723 20150806 20150820 20150903 20150917 20151001 20151015 20151029 20151112 20151126 20151210 20151224,水,20150112 20150126 20150209 20150223 20150309 20150323 20150406 20150420 20150504 20150518 20150601 20150615 20150629 20150713 20150727 20150810 20150824 20150907 20150921 20151005 20151019 20151102 20151116 20151130 20151214 20151228,20150105 20150119 20150202 20150216 20150302 20150316 20150330 20150413 20150427 20150511 20150525 20150608 20150622 20150706 20150720 20150803 20150817 20150831 20150914 20150928 20151012 20151026 20151109 20151123 20151207 20151221,火 金

